epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2276,1.66344,2.14217,1.08236,0.67573,0.1577,0.16094,0.0884,1.70116,1.50772,1.06122,0.00331825,0.00331825,0.00331825
2,64.1357,1.53411,1.31311,1.02931,0.59121,0.24146,0.24291,0.1276,1.63716,1.23875,1.03997,0.00660768,0.00660768,0.00660768
3,93.1831,1.53334,1.24807,1.03037,0.59021,0.24838,0.23937,0.12007,1.66537,1.25696,1.05694,0.00985312,0.00985312,0.00985312
4,122.358,1.52871,1.18216,1.03051,0.58225,0.2458,0.24488,0.12138,1.75467,1.45681,1.07287,0.009802,0.009802,0.009802
5,152.357,1.4843,1.09716,1.01187,0.62532,0.26021,0.27691,0.14559,1.58505,1.20186,1.02548,0.009736,0.009736,0.009736
6,180.653,1.48685,1.0715,1.01033,0.69698,0.29767,0.32996,0.1727,1.56894,1.09835,1.01233,0.00967,0.00967,0.00967
7,208.605,1.46896,1.03016,1.00191,0.4901,0.28936,0.32324,0.16958,1.52902,1.03567,1.00269,0.009604,0.009604,0.009604
8,236.513,1.4441,0.99293,0.99715,0.66937,0.25861,0.2931,0.15852,1.58584,1.09975,1.00228,0.009538,0.009538,0.009538
9,266.431,1.41984,0.96231,0.99308,0.44666,0.2813,0.30692,0.1632,1.50651,1.00378,0.99004,0.009472,0.009472,0.009472
10,295.961,1.42076,0.95764,0.99248,0.70882,0.31125,0.34753,0.19079,1.52149,1.0143,0.98588,0.009406,0.009406,0.009406
11,325.985,1.41514,0.94153,0.98106,0.68368,0.28964,0.31768,0.16978,1.52129,1.01322,0.98714,0.00934,0.00934,0.00934
12,355.717,1.40871,0.92582,0.9849,0.7371,0.31789,0.36523,0.19534,1.48244,0.97584,0.98711,0.009274,0.009274,0.009274
13,385.482,1.3843,0.90371,0.98108,0.72161,0.31281,0.3545,0.18608,1.49016,0.97493,0.98547,0.009208,0.009208,0.009208
14,413.504,1.38053,0.89635,0.98185,0.73498,0.33508,0.38266,0.20565,1.4523,0.90443,0.97554,0.009142,0.009142,0.009142
15,443.138,1.373,0.89197,0.97467,0.71511,0.32364,0.3608,0.19512,1.46042,0.92398,0.97787,0.009076,0.009076,0.009076
16,472.929,1.34562,0.86607,0.96434,0.75152,0.33141,0.38196,0.20898,1.45914,0.92925,0.97502,0.00901,0.00901,0.00901
17,500.756,1.36664,0.86866,0.96921,0.76957,0.34566,0.39411,0.21749,1.43945,0.8984,0.96587,0.008944,0.008944,0.008944
18,530.64,1.36896,0.86847,0.97169,0.74268,0.3402,0.3917,0.21731,1.43548,0.9249,0.96889,0.008878,0.008878,0.008878
19,558.612,1.3643,0.8676,0.96817,0.77847,0.35175,0.40151,0.22471,1.4294,0.88731,0.96487,0.008812,0.008812,0.008812
20,586.591,1.36617,0.85816,0.9694,0.77667,0.33394,0.39583,0.22393,1.42232,0.89888,0.96956,0.008746,0.008746,0.008746
21,614.642,1.35288,0.85008,0.96602,0.78375,0.3465,0.40121,0.22548,1.4342,0.8955,0.96784,0.00868,0.00868,0.00868
22,644.355,1.34128,0.84315,0.96683,0.76621,0.35129,0.40412,0.22844,1.42239,0.87132,0.96536,0.008614,0.008614,0.008614
23,672.252,1.34096,0.84031,0.96554,0.7697,0.35422,0.40587,0.22828,1.42699,0.86006,0.96345,0.008548,0.008548,0.008548
24,700.311,1.33788,0.83746,0.95734,0.75332,0.3559,0.40236,0.22399,1.42234,0.8683,0.96135,0.008482,0.008482,0.008482
25,730.149,1.34563,0.83849,0.96275,0.75388,0.34654,0.39122,0.2156,1.40814,0.87199,0.95981,0.008416,0.008416,0.008416
26,759.714,1.33106,0.83922,0.96062,0.77313,0.34838,0.39827,0.22067,1.40666,0.84964,0.95788,0.00835,0.00835,0.00835
27,788.177,1.32872,0.82792,0.96065,0.76677,0.36143,0.41064,0.2271,1.41146,0.8834,0.96069,0.008284,0.008284,0.008284
28,818.147,1.32309,0.82024,0.95766,0.78136,0.36212,0.41776,0.24054,1.40275,0.84552,0.95665,0.008218,0.008218,0.008218
29,846.123,1.33393,0.82766,0.9612,0.75868,0.35975,0.40883,0.2343,1.39306,0.84353,0.9554,0.008152,0.008152,0.008152
30,874.077,1.31088,0.81277,0.9577,0.78274,0.35498,0.40929,0.22863,1.40378,0.86376,0.95927,0.008086,0.008086,0.008086
31,902.241,1.31344,0.80772,0.95467,0.76825,0.36912,0.41654,0.23956,1.40603,0.84581,0.95375,0.00802,0.00802,0.00802
32,930.327,1.3158,0.8083,0.95893,0.75991,0.35221,0.41212,0.22806,1.41252,0.84052,0.95735,0.007954,0.007954,0.007954
33,960.307,1.31857,0.81023,0.95684,0.78742,0.36694,0.42217,0.24214,1.37799,0.82663,0.95066,0.007888,0.007888,0.007888
34,988.786,1.32509,0.80666,0.9576,0.77472,0.36034,0.41176,0.23522,1.39214,0.83731,0.95093,0.007822,0.007822,0.007822
35,1016.66,1.29707,0.79178,0.95062,0.78095,0.3648,0.42654,0.2485,1.37746,0.82833,0.94975,0.007756,0.007756,0.007756
36,1044.54,1.31805,0.80432,0.95249,0.7667,0.35704,0.41589,0.23234,1.38701,0.83691,0.95303,0.00769,0.00769,0.00769
37,1072.39,1.30407,0.79263,0.95113,0.79892,0.37071,0.42753,0.24609,1.37829,0.8173,0.95164,0.007624,0.007624,0.007624
38,1100.3,1.29115,0.78328,0.94848,0.79247,0.36637,0.42578,0.24556,1.37713,0.81571,0.94932,0.007558,0.007558,0.007558
39,1130.59,1.29754,0.7842,0.9483,0.77045,0.34705,0.39927,0.2251,1.39555,0.82702,0.95218,0.007492,0.007492,0.007492
40,1160.48,1.30712,0.79282,0.949,0.79363,0.36819,0.42672,0.24629,1.37214,0.81161,0.94587,0.007426,0.007426,0.007426
41,1188.42,1.30832,0.7856,0.95201,0.80992,0.35418,0.41876,0.24206,1.37334,0.81444,0.94738,0.00736,0.00736,0.00736
42,1218.13,1.30499,0.78941,0.94371,0.78727,0.36871,0.42886,0.24571,1.36671,0.80769,0.94757,0.007294,0.007294,0.007294
43,1245.79,1.29157,0.78233,0.94696,0.79184,0.37098,0.43312,0.2519,1.36729,0.80348,0.94739,0.007228,0.007228,0.007228
44,1273.5,1.2871,0.77582,0.94651,0.79296,0.37533,0.4319,0.25138,1.35946,0.79733,0.94464,0.007162,0.007162,0.007162
45,1301.21,1.29768,0.78781,0.94746,0.79438,0.37128,0.43028,0.25138,1.3676,0.80089,0.9477,0.007096,0.007096,0.007096
46,1329.14,1.28705,0.76642,0.94706,0.78873,0.37283,0.42831,0.24699,1.36391,0.80389,0.94731,0.00703,0.00703,0.00703
47,1357.21,1.30293,0.7864,0.95121,0.80342,0.37056,0.43241,0.24995,1.35737,0.79715,0.94412,0.006964,0.006964,0.006964
48,1387.03,1.28252,0.77493,0.94343,0.7936,0.37734,0.43366,0.25308,1.36775,0.79859,0.94356,0.006898,0.006898,0.006898
49,1414.99,1.29169,0.77137,0.9448,0.78692,0.37298,0.43018,0.24913,1.3711,0.80158,0.9463,0.006832,0.006832,0.006832
50,1444.57,1.28273,0.76443,0.94402,0.79775,0.37307,0.4348,0.25311,1.35758,0.79307,0.94326,0.006766,0.006766,0.006766
51,1472.16,1.27033,0.765,0.94329,0.79203,0.37296,0.43173,0.25153,1.35537,0.79064,0.9426,0.0067,0.0067,0.0067
52,1500.3,1.27657,0.76739,0.94177,0.78805,0.37097,0.42869,0.25191,1.35943,0.79636,0.94367,0.006634,0.006634,0.006634
53,1529.92,1.27884,0.76501,0.94469,0.80572,0.37427,0.43616,0.25652,1.35397,0.78528,0.94182,0.006568,0.006568,0.006568
54,1557.77,1.26945,0.75811,0.94614,0.80695,0.3722,0.43727,0.2548,1.35703,0.78965,0.94248,0.006502,0.006502,0.006502
55,1585.42,1.29137,0.77545,0.94253,0.79197,0.36594,0.42368,0.24114,1.36177,0.79116,0.94391,0.006436,0.006436,0.006436
56,1613.43,1.26862,0.7566,0.94231,0.79791,0.37862,0.43814,0.25241,1.35343,0.78564,0.9426,0.00637,0.00637,0.00637
57,1642.95,1.26384,0.75254,0.94168,0.80838,0.3725,0.43678,0.25417,1.35146,0.78289,0.94342,0.006304,0.006304,0.006304
58,1670.91,1.2625,0.75106,0.9406,0.79364,0.38026,0.43745,0.25575,1.35273,0.7794,0.94234,0.006238,0.006238,0.006238
59,1698.54,1.25817,0.75015,0.93807,0.80215,0.38054,0.43859,0.25254,1.35093,0.78138,0.94116,0.006172,0.006172,0.006172
60,1726.55,1.26479,0.74885,0.94005,0.79822,0.37822,0.43785,0.25475,1.35567,0.78198,0.94186,0.006106,0.006106,0.006106
61,1754.07,1.2772,0.76465,0.94149,0.79052,0.38035,0.43703,0.2509,1.34911,0.77813,0.94065,0.00604,0.00604,0.00604
62,1781.93,1.27547,0.76123,0.94123,0.80566,0.37789,0.44098,0.2583,1.33859,0.77383,0.93809,0.005974,0.005974,0.005974
63,1809.8,1.26479,0.74795,0.94116,0.80069,0.37919,0.43786,0.25739,1.34808,0.77502,0.94076,0.005908,0.005908,0.005908
64,1839.31,1.26218,0.74591,0.94019,0.79758,0.38555,0.44126,0.25905,1.33905,0.77008,0.93893,0.005842,0.005842,0.005842
65,1867.28,1.26728,0.74557,0.94138,0.65591,0.39226,0.4434,0.25984,1.33949,0.77642,0.93846,0.005776,0.005776,0.005776
66,1894.98,1.27086,0.7468,0.94013,0.70185,0.39653,0.45814,0.2603,1.342,0.77304,0.93855,0.00571,0.00571,0.00571
67,1924.36,1.27153,0.75125,0.93723,0.81435,0.37701,0.44021,0.25935,1.33903,0.77096,0.93763,0.005644,0.005644,0.005644
68,1954.1,1.26607,0.75023,0.93731,0.6458,0.4019,0.44577,0.26231,1.33732,0.77141,0.93787,0.005578,0.005578,0.005578
69,1983.44,1.25853,0.74208,0.93663,0.60919,0.38228,0.44426,0.2642,1.3339,0.76631,0.93574,0.005512,0.005512,0.005512
70,2011.04,1.24012,0.73224,0.93579,0.65754,0.39488,0.44654,0.26407,1.33906,0.77176,0.93683,0.005446,0.005446,0.005446
71,2038.68,1.2793,0.7455,0.93965,0.8063,0.38249,0.44977,0.26468,1.34323,0.76993,0.93816,0.00538,0.00538,0.00538
72,2066.28,1.26247,0.74403,0.94228,0.81422,0.37886,0.4437,0.26264,1.33823,0.76865,0.93709,0.005314,0.005314,0.005314
73,2093.88,1.26266,0.74272,0.9355,0.80569,0.38395,0.44641,0.26308,1.33332,0.76447,0.93661,0.005248,0.005248,0.005248
74,2121.47,1.26174,0.73964,0.93788,0.8066,0.38249,0.44455,0.2595,1.33751,0.76714,0.93743,0.005182,0.005182,0.005182
75,2151.08,1.25785,0.73528,0.93732,0.81329,0.38151,0.44676,0.26391,1.33723,0.76255,0.93633,0.005116,0.005116,0.005116
76,2178.86,1.25242,0.74081,0.93757,0.80042,0.38354,0.44246,0.26039,1.33757,0.76139,0.93651,0.00505,0.00505,0.00505
77,2206.36,1.25007,0.73263,0.93835,0.81393,0.37899,0.44499,0.26266,1.33661,0.76159,0.93573,0.004984,0.004984,0.004984
78,2234.37,1.24999,0.7221,0.93322,0.66913,0.39373,0.45106,0.26599,1.33282,0.76105,0.93532,0.004918,0.004918,0.004918
79,2264.09,1.26119,0.73474,0.93464,0.72485,0.41062,0.45673,0.27002,1.33326,0.76016,0.93507,0.004852,0.004852,0.004852
80,2294.07,1.23872,0.72119,0.93347,0.69208,0.42409,0.46769,0.27318,1.333,0.75893,0.93507,0.004786,0.004786,0.004786
81,2323.93,1.24909,0.7221,0.93386,0.71882,0.41518,0.46675,0.27398,1.33023,0.75709,0.93449,0.00472,0.00472,0.00472
82,2353.88,1.25422,0.73136,0.93075,0.72311,0.41194,0.46867,0.27444,1.32955,0.75551,0.935,0.004654,0.004654,0.004654
83,2383.42,1.23706,0.71929,0.93333,0.66933,0.39718,0.45585,0.27129,1.33091,0.75419,0.93487,0.004588,0.004588,0.004588
84,2414.07,1.23612,0.71614,0.93001,0.70176,0.42683,0.47349,0.27472,1.332,0.75805,0.93481,0.004522,0.004522,0.004522
85,2443.39,1.23036,0.71,0.9295,0.8114,0.38744,0.45714,0.27387,1.32934,0.75616,0.93384,0.004456,0.004456,0.004456
86,2471.14,1.24336,0.72272,0.93004,0.80805,0.38629,0.45249,0.26991,1.32716,0.75535,0.93393,0.00439,0.00439,0.00439
87,2498.72,1.2376,0.71828,0.93137,0.768,0.4127,0.46611,0.27521,1.32869,0.75581,0.93438,0.004324,0.004324,0.004324
88,2526.26,1.22491,0.7197,0.92873,0.75824,0.421,0.46625,0.27693,1.32798,0.75382,0.93476,0.004258,0.004258,0.004258
